Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,100,-7.9,-6.1,-11.8,0,SSW,5.1,12.8,0,1.5,39.4
01/12/2018,100,-6.7,-6.1,-7.9,0,ENE,14.6,26,0.4,1.4,39.4
02/12/2018,100,-6.5,-5,-8.2,0,NNE,15.3,28.9,7,1.3,39.4
03/12/2018,100,-6.9,-4.6,-8.9,0,S,11.1,23.2,0,1.3,39.4
04/12/2018,97,-7.6,-5,-12.8,0,SW,14.5,23.9,7,1.2,39.4
05/12/2018,89,-11.9,-7.5,-26.2,0,NW,13.7,32.9,1.5,1.1,39.4
06/12/2018,84,-21.2,-13.4,-29.5,0,SW,10.7,23.2,0,1,39.3
07/12/2018,88,-14,-9.8,-20.3,0,SSW,13,24.4,0,1,39.2
08/12/2018,92,-13.6,-8.4,-19.2,0,S,17.5,33.3,0,0.9,39.2
09/12/2018,89,-15.9,-10,-21.7,0,SSW,10.2,20.6,0,0.9,39.2
10/12/2018,96,-12.4,-6.9,-18.3,0,WSW,5.7,17.3,0,0.8,39.2
11/12/2018,99,-10.1,-4.6,-18.3,0,S,12.4,30.9,1.2,0.7,39.1
12/12/2018,100,-5.1,-2.2,-10.7,0,SSE,19.1,42,2.2,0.6,39.2
13/12/2018,94,-4.5,-1.5,-8,0,SW,14.5,32.2,3.1,0.4,39.2
14/12/2018,97,-5.7,-1.3,-10.3,0,SSW,14.8,26.3,0,0.3,39.2
15/12/2018,98,-1.5,3.3,-4.7,0,S,28.5,45.9,17,0.3,39.3
16/12/2018,83,-6.8,1.8,-18.3,0,WNW,20.4,45.2,0,0.2,39.2
17/12/2018,82,-11.5,-5.9,-18.5,0,SE,11,31.8,0,0.2,38.5
18/12/2018,93,-5.7,-2.4,-9.2,0,S,16.8,35.7,3.8,0.2,37.9
19/12/2018,100,-1.2,1.2,-5.6,0,W,17.9,37.8,4.1,0.2,37.9
20/12/2018,96,-12.2,-5.8,-18.3,0,S,11.1,30.5,0,0.1,37.8
21/12/2018,97,-11.2,-8.5,-17.6,0,SE,16,27.8,0.6,0.1,37.4
22/12/2018,100,-8.3,-7.2,-9.4,0,S,13.2,21.9,7.7,0.1,37.6
23/12/2018,97,-10.6,-8.3,-21,0,NW,14.1,24.9,3,0.1,37.7
24/12/2018,96,-15.5,-9.5,-25.8,0,No Data,No Data,No Data,No Data,0.1,37.2
25/12/2018,94,-14.9,-12.1,-24.6,0,W,8.7,21,0,0,0
26/12/2018,95,-16.5,-13.3,-22.8,0,ESE,8.5,19.5,0,0,0
