Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,83,-5.2,-3,-7.8,0,SSW,6.6,19.1,0,3.2,32.5
01/12/2018,93,-6.5,-4.4,-8.1,0,ENE,5.6,19.5,1.7,3,32.5
02/12/2018,92,-6.9,-5.6,-8.4,0,WSW,10.1,20.1,0,2.9,32.5
03/12/2018,91,-6.1,-4,-8,0,SSW,9.6,28.5,0,2.8,32.5
04/12/2018,82,-7.3,-4,-12.7,0,WSW,12.2,31.6,2.1,2.7,32.4
05/12/2018,79,-11,-7.5,-23.3,0,NW,16.4,33.9,3.1,2.6,32.3
06/12/2018,75,-17.6,-10.2,-26.7,0,WSW,9.5,17.3,0.3,2.5,32.4
07/12/2018,74,-11.6,-6.9,-17.4,0,WSW,11.7,22.6,1.1,2.4,32.3
08/12/2018,79,-13.2,-6.7,-17.7,0,S,12.2,30.2,0,2.4,32.3
09/12/2018,69,-9.5,-1.6,-18.1,0,W,12.8,27.9,0,2.3,32.3
10/12/2018,78,-8.4,-2.8,-16.5,0,W,12.1,29.8,0,2.2,32.2
11/12/2018,85,-7.6,-0.3,-16.2,0,SSW,9.2,21,0,2,32.2
12/12/2018,94,-4.4,-1.4,-9.3,0,S,18,39.5,0.7,1.9,32.2
13/12/2018,72,-1.9,0.7,-7,0,WSW,17.5,30.9,5,1.8,32.1
14/12/2018,75,-2.3,2.1,-6.4,0,SW,14.4,32.9,0,1.7,32.1
15/12/2018,77,-1.4,5,-8.3,0,SSW,21.1,41.1,6.3,1.6,32
16/12/2018,71,-4.7,2.8,-15.1,0,WNW,21.6,45.2,0,1.5,32.1
17/12/2018,81,-12.2,-8.1,-17.2,0,S,11.7,25.5,0,1.4,32
18/12/2018,83,-4,3.8,-9.6,0,SSW,12.6,28.6,0,1.4,32
19/12/2018,89,-0.6,2.9,-4.9,0,W,18.6,48.7,0,1.3,32.1
20/12/2018,87,-8.2,-5,-11,0,SSW,13.5,40.1,0,1.3,32.1
21/12/2018,89,-10.2,-7.7,-13.4,0,SE,17.9,34.2,2.4,1.2,32
22/12/2018,90,-7.4,-6.1,-8,0,SSW,12.2,27.2,0.9,1.2,31.9
23/12/2018,82,-11.9,-7.3,-23.6,0,NW,15.8,30.8,1.2,1.2,31.9
24/12/2018,85,-14,-10.1,-21,0,S,3.7,8.7,0,1.1,32
25/12/2018,82,-13.5,-11.9,-16.2,0,WSW,7.6,21.5,0,1.1,32
26/12/2018,84,-14.5,-13.2,-16.8,0,ESE,12,21.8,0,1,32
27/12/2018,82,-14.2,-12.5,-17.8,0,W,26,45.6,11.3,0.9,32
28/12/2018,74,-20.9,-17.2,-23,0,W,17.1,46,0,0.9,32
29/12/2018,79,-14.9,-12.1,-20.9,0,S,14.1,30.4,0,0.8,31.9
30/12/2018,81,-14.4,-11.9,-23,0,SSE,18,40.2,2.2,0.8,32
31/12/2018,71,-25.2,-22.1,-28.1,0,NW,21.7,46.4,7.1,0.7,31.9
01/01/2019,66,-21.2,-15.1,-29.3,0,SSW,15.7,38.8,1.9,0.6,31.8
02/01/2019,83,-9.2,-2.9,-15.4,0,SSW,13,29.3,0,0.5,31.8
03/01/2019,77,2.1,4.3,-2.6,0,W,20.2,39,2.2,0.4,31.9
04/01/2019,87,-4.6,-0.7,-11.7,0,SW,6.7,23.2,0,0.3,31.8
05/01/2019,84,-5.7,-2.7,-10.2,0,SW,13,28.3,1.9,0.2,31.7
06/01/2019,86,-7.8,-3.2,-11.9,0,SE,25.3,43.8,3.9,0.2,31.7
07/01/2019,82,-3.1,1.1,-8.2,0,SW,25.7,51.6,5.2,0.1,31.9
08/01/2019,73,-13.4,-8.5,-17.8,0,WNW,34.4,49.9,22.5,0.2,32.1
