Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0-5 cm Depth Average Temp (°C),0-5 cm Depth Average WFV (%)
30/11/2018,96,-5.2,-2.9,-8.7,0,SSW,6,15.9,0,2,18.9
01/12/2018,100,-6.7,-4.6,-8.5,0,ENE,7.2,20.4,0.7,1.9,18.7
02/12/2018,100,-7.1,-5.9,-8.7,0,SW,10.3,19,0.7,1.8,18.7
03/12/2018,100,-6.1,-4.2,-8.2,0,SSW,8.3,31.8,0,1.8,18.6
04/12/2018,93,-7.2,-4.2,-11.3,0,WSW,12.6,29.8,2.5,1.8,18.5
05/12/2018,88,-11.1,-7.6,-24.3,0,NW,17.5,36.2,4.9,1.7,18.6
06/12/2018,82,-17.6,-10,-27,0,WSW,9.2,18.8,0,1.7,18.6
07/12/2018,81,-11.7,-7,-17,0,WSW,10.5,23.5,0.1,1.6,18.5
08/12/2018,86,-12.9,-4.8,-17.2,0,S,10.1,26.8,1.7,1.5,18.4
09/12/2018,75,-9.8,-2.1,-18.7,0,W,12.1,27.8,0.9,1.5,18.3
10/12/2018,85,-8.6,-3.6,-17.1,0,W,11.7,26.9,0,1.4,18.3
11/12/2018,93,-6.7,1.4,-16.3,0,SSW,7.5,16,0,1.3,18.2
12/12/2018,100,-4.6,-1.4,-9.2,0,S,14.5,33.5,2.4,1.2,18.1
13/12/2018,82,-1.8,0.7,-6.7,0,WSW,18.3,31.6,4.9,1.2,18
14/12/2018,86,-2.6,3.1,-7.9,0,SW,12,32,0,1.1,18
15/12/2018,85,-0.9,4.5,-6.7,0,SSW,19.6,46.5,7.1,1.1,18
16/12/2018,79,-5,2.7,-15.1,0,WNW,22.4,45.2,0,1.1,17.9
17/12/2018,89,-11.6,-7.7,-16.3,0,SSE,11.8,25.2,0,1,17.8
18/12/2018,94,-3.9,4,-9.3,0,SSW,9.8,25.7,0,1,17.9
19/12/2018,99,-0.5,2.6,-4.7,0,W,18.1,46.6,0,1,17.8
20/12/2018,100,-7.9,-4.7,-10.7,0,SSW,13.1,35.6,0.6,0.9,17.8
21/12/2018,100,-10.2,-7.9,-12.9,0,SE,14.1,26.9,4.3,0.9,17.8
22/12/2018,100,-7.4,-5.5,-8.3,0,S,10.1,24.4,0,0.9,17.8
23/12/2018,92,-12.5,-7.2,-23.4,0,WNW,14.7,29.3,0.3,0.9,17.7
24/12/2018,97,-14.2,-10.4,-20.8,0,S,3.9,9,0,0.9,17.7
25/12/2018,93,-13.7,-11.9,-16,0,SSE,7.5,21.8,0,0.8,17.7
26/12/2018,95,-14.5,-13.4,-16.3,0,ESE,9.9,18.7,0.1,0.8,17.6
27/12/2018,94,-14.3,-12.7,-17.9,0,W,28.7,50.3,10,0.8,17.5
28/12/2018,81,-21.2,-17,-23.8,0,W,16.6,42.4,0,0.8,17.4
29/12/2018,88,-14.6,-11.5,-20.2,0,S,12,24.4,0,0.7,17.3
30/12/2018,93,-14.5,-12.1,-22.8,0,SE,19.8,42.7,2,0.6,17.3
31/12/2018,75,-25.1,-22.5,-28.6,0,NW,20.6,49.3,7.6,0.5,17.1
01/01/2019,70,-20.8,-13.2,-28.2,0,SSW,14.9,38.3,1.6,0.4,16.8
02/01/2019,95,-8.6,-2.7,-14,0,SSW,11.8,29.4,1.2,0.4,16.7
03/01/2019,90,2,4.1,-1.9,0,W,18.5,34.6,4.6,0.2,16.7
04/01/2019,98,-4.5,0.4,-10.9,0,WSW,6.1,20.7,0,0.2,16.2
05/01/2019,96,-5.9,-2.8,-10.8,0,SSW,14.6,30.7,1.9,0.2,15.5
06/01/2019,97,-8,-3.5,-12,0,SE,22.2,37.8,3.2,0.2,15.4
07/01/2019,91,-3.1,1,-8.3,0,SW,24.9,50.4,5.4,0.2,15.4
08/01/2019,80,-13.6,-8.6,-18.5,0,WNW,32.7,52.2,18.5,0.2,15.4
09/01/2019,78,-18.5,-16.9,-20.8,0,SSW,14,29.8,3,0.2,15.4
10/01/2019,87,-13,-10.6,-16.8,0,SE,17.8,36.3,1.8,0.2,15.3
11/01/2019,97,-11.1,-10.3,-13.2,0,SE,12.6,23.2,0,0.1,15.2
12/01/2019,96,-9.7,-6.3,-12.2,0,SW,8.8,20.7,0,0,15.1
13/01/2019,94,-7.2,-5.6,-11.4,0,WSW,12.5,28.5,0,0,14.7
14/01/2019,99,-9.4,-6.5,-11.1,0,WSW,12.3,37.7,0,0,14.3
15/01/2019,87,-12.8,-3.8,-22,0,NW,26.7,54.1,3.9,0,0
16/01/2019,77,-22.7,-17.7,-27.4,0,SSW,6.1,12.5,0,0,0
17/01/2019,81,-19.5,-16.4,-26.3,0,WSW,7.7,18.6,0,No Data,No Data
18/01/2019,75,-26.6,-24.6,-30.3,0,SSW,8,19.6,0,No Data,No Data
19/01/2019,76,-28.1,-24.3,-31.7,0,SW,8.3,18.7,0,No Data,No Data
20/01/2019,74,-27.4,-22.9,-32.8,0,ESE,10.5,29.5,1.4,No Data,No Data
21/01/2019,80,-15,-11.2,-22.4,0,S,16.3,28.7,5.3,No Data,No Data
