Reading Time (CST),Ambient Air RHAvg (%),Ambient Air Temp (°C),Ambient Air TempMax (°C),Ambient Air TempMin (°C),Precipitation Precip (mm),Wind WindDir,Wind WindSpeed (km/h),Wind WindSpeedMax (km/h),Wind WindSpeedMin (km/h),0 to 5 cm Depth Average Temp (°C),0 to 5 cm Depth Average WFV (%)
30/11/2018,97,-5.1,-3.2,-6.5,0,SSW,5.1,13.8,0,0.6,5.5
01/12/2018,100,-6.5,-4.5,-8.2,0,ENE,8,21.3,1.3,0.6,6.1
02/12/2018,100,-6.9,-5.6,-8.4,0,W,10.6,19.2,1,0.5,0
03/12/2018,100,-6,-4,-7.9,0,S,9.8,28.7,0,0.7,6.2
04/12/2018,92,-6.9,-4.1,-11.7,0,WSW,12.5,27.6,2.8,0.5,0
05/12/2018,88,-10.8,-7.5,-20.6,0,NW,15.9,36.6,4.9,0.2,0
06/12/2018,83,-17.3,-10.8,-25.2,0,SW,9,16.5,1.3,No Data,No Data
07/12/2018,81,-11.1,-7.4,-15.4,0,SW,12.5,30.5,3.5,No Data,No Data
08/12/2018,87,-12.3,-5.6,-16.3,0,S,10.8,26,0,No Data,No Data
09/12/2018,78,-9.4,-2.5,-16.1,0,WSW,16.1,32.1,4.6,No Data,No Data
10/12/2018,87,-8.1,-3.3,-16.5,0,WSW,12.1,33.8,0,No Data,No Data
11/12/2018,96,-6.4,1,-15.4,0,SSW,8.9,20.4,0,No Data,No Data
12/12/2018,100,-4.2,-1.4,-8.8,0,S,13.9,32.9,3.7,0.4,3.8
13/12/2018,83,-1.9,0.6,-5.9,0,WSW,18.1,33.5,0,1.1,4.9
14/12/2018,86,-1.8,1.6,-5.7,0,SW,17.3,35,1.6,1,4.9
15/12/2018,87,-0.7,4.2,-7.4,0,SSW,20.4,49.3,5.6,1.5,5.2
16/12/2018,76,-4.3,2.8,-15.1,0,WNW,20.6,43.1,0,1.6,6.1
17/12/2018,90,-11.5,-7.6,-15.9,0,SSE,7.9,20.4,0,No Data,No Data
18/12/2018,96,-3.6,4.1,-9.9,0,SSW,12.1,27.2,0,1.3,0
19/12/2018,100,-0.3,3.8,-4.8,0,WSW,17.5,44.5,0,1.6,5.2
20/12/2018,100,-7.9,-4.9,-10.9,0,SSW,11.9,34.1,0,0.2,0
